"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"Cer12"	0	0.838766773504781	0.332	0.055	0	"Gut"	"Cer1"
"Nepn"	0	0.833969850520083	0.188	0.003	0	"Gut"	"Nepn"
"Pyy"	0	0.820563360448755	0.153	0.008	0	"Gut"	"Pyy"
"Cpm"	0	0.786713614345629	0.647	0.082	0	"Gut"	"Cpm"
"Cpn11"	0	0.739318727186511	0.647	0.089	0	"Gut"	"Cpn1"
"Ifitm12"	0	0.726722219614835	0.921	0.594	0	"Gut"	"Ifitm1"
"Spink11"	0	0.725937541653943	0.809	0.265	0	"Gut"	"Spink1"
"Spint23"	0	0.725388907673729	0.98	0.646	0	"Gut"	"Spint2"
"Phlda18"	0	0.720710062610708	0.821	0.484	0	"Gut"	"Phlda1"
"Epcam2"	0	0.720128047832567	0.981	0.585	0	"Gut"	"Epcam"
"Tceal94"	0	0.719681590585233	0.999	0.987	0	"Gut"	"Tceal9"
"Slc2a13"	0	0.718555486281993	0.976	0.869	0	"Gut"	"Slc2a1"
"Wfdc22"	0	0.705053374554227	0.908	0.542	0	"Gut"	"Wfdc2"
"Gpc33"	0	0.688170563359513	0.941	0.617	0	"Gut"	"Gpc3"
"Peg33"	0	0.680042324048514	0.893	0.564	0	"Gut"	"Peg3"
"Crb33"	0	0.674176128966408	0.83	0.275	0	"Gut"	"Crb3"
"Igfbp52"	0	0.655175080809876	0.473	0.089	0	"Gut"	"Igfbp5"
"Cmtm82"	0	0.65212451851304	0.84	0.377	0	"Gut"	"Cmtm8"
"Nectin21"	0	0.629974864955967	0.927	0.595	0	"Gut"	"Nectin2"
"Tmsb104"	0	0.625064936851305	1	0.979	0	"Gut"	"Tmsb10"
"Cldn73"	0	0.621843579447429	0.91	0.432	0	"Gut"	"Cldn7"
"Fam213a2"	0	0.610853168134833	0.84	0.564	0	"Gut"	"Fam213a"
"Mdk6"	0	0.608534337191621	1	0.969	0	"Gut"	"Mdk"
"Pcbd11"	0	0.597195667948068	0.831	0.342	0	"Gut"	"Pcbd1"
"Pdgfa1"	0	0.583408550917593	0.761	0.314	0	"Gut"	"Pdgfa"
"Krt71"	0	0.555644791482618	0.575	0.085	0	"Gut"	"Krt7"
"Tagln25"	0	0.546922526911994	0.959	0.776	0	"Gut"	"Tagln2"
"Bex42"	0	0.544693096922281	0.998	0.931	0	"Gut"	"Bex4"
"H2afv3"	0	0.542751602067777	0.998	0.957	0	"Gut"	"H2afv"
"Itm2b4"	0	0.527245049989402	0.959	0.806	0	"Gut"	"Itm2b"
"Cnn24"	0	0.517758980772569	0.795	0.434	0	"Gut"	"Cnn2"
"Bcam"	0	0.51487224813887	0.703	0.215	0	"Gut"	"Bcam"
"Txndc122"	0	0.503713908968044	0.91	0.676	0	"Gut"	"Txndc12"
"Myl63"	0	0.499233857382349	1	0.993	0	"Gut"	"Myl6"
"Foxa22"	0	0.474756067796267	0.619	0.089	0	"Gut"	"Foxa2"
"mt-Cytb1"	0	0.459667111319392	0.998	0.971	0	"Gut"	"mt-Cytb"
"Cystm12"	0	0.455383376412551	0.737	0.339	0	"Gut"	"Cystm1"
"Cldn41"	0	0.451794366010307	0.605	0.128	0	"Gut"	"Cldn4"
"Tpm11"	0	0.448365264001797	0.975	0.799	0	"Gut"	"Tpm1"
"Ptprf"	0	0.43804342301098	0.764	0.429	0	"Gut"	"Ptprf"
"Prss81"	0	0.424746177974419	0.685	0.235	0	"Gut"	"Prss8"
"Nradd"	0	0.405813881886315	0.691	0.312	0	"Gut"	"Nradd"
"Stmn12"	0	0.405647108938057	0.999	0.985	0	"Gut"	"Stmn1"
"Isl13"	0	0.403455711276243	0.395	0.09	0	"Gut"	"Isl1"
"Dstn1"	0	0.3944763297338	0.99	0.948	0	"Gut"	"Dstn"
"Tln21"	0	0.388992427148495	0.623	0.257	0	"Gut"	"Tln2"
"Tspan121"	0	0.387080659814438	0.532	0.169	0	"Gut"	"Tspan12"
"Foxa1"	0	0.377650962672823	0.429	0.014	0	"Gut"	"Foxa1"
"Tmprss21"	0	0.375372322745257	0.499	0.108	0	"Gut"	"Tmprss2"
"Col4a12"	0	0.370415717740164	0.568	0.221	0	"Gut"	"Col4a1"
"Myl91"	0	0.366253605767971	0.501	0.148	0	"Gut"	"Myl9"
"Pdpn1"	0	0.351139736220711	0.592	0.227	0	"Gut"	"Pdpn"
"Rab251"	0	0.339590835963332	0.629	0.24	0	"Gut"	"Rab25"
"Ap1s32"	0	0.334525816819958	0.499	0.172	0	"Gut"	"Ap1s3"
"Flrt31"	0	0.334320894163811	0.518	0.169	0	"Gut"	"Flrt3"
"Kitl"	0	0.327234217790561	0.431	0.073	0	"Gut"	"Kitl"
"Pla2g7"	0	0.311410554095519	0.276	0.056	0	"Gut"	"Pla2g7"
"Pax9"	0	0.310123660577676	0.292	0.009	0	"Gut"	"Pax9"
"App"	0	0.286143164030554	0.512	0.184	0	"Gut"	"App"
"Mapk13"	0	0.280149530032992	0.424	0.114	0	"Gut"	"Mapk13"
"1700011H14Rik1"	0	0.278748777133982	0.321	0.069	0	"Gut"	"1700011H14Rik"
"Upk3a"	0	0.266464012872983	0.182	0.006	0	"Gut"	"Upk3a"
"Ihh1"	0	0.257022184653017	0.288	0.051	0	"Gut"	"Ihh"
"Gprc5c"	0	0.254328636907841	0.418	0.12	0	"Gut"	"Gprc5c"
"Afap1l11"	0	0.251273523719655	0.374	0.107	0	"Gut"	"Afap1l1"
"Bex12"	2.07952069935784e-307	0.557711766707026	0.999	0.966	4.63920272819741e-303	"Gut"	"Bex1"
"Sox42"	4.79715876055901e-307	0.586741733921459	0.902	0.622	1.07019814789311e-302	"Gut"	"Sox4"
"Lpar11"	3.15431571395793e-305	0.308644246158934	0.58	0.233	7.03696292626874e-301	"Gut"	"Lpar1"
"Sparc3"	4.31060340922027e-304	0.453830890315512	0.923	0.67	9.61652514562949e-300	"Gut"	"Sparc"
"Tspan71"	2.99578171503681e-302	0.440566593304224	0.66	0.33	6.68328942807561e-298	"Gut"	"Tspan7"
"Ddah24"	6.40376406550693e-302	0.441145980583512	0.898	0.666	1.42861572537394e-297	"Gut"	"Ddah2"
"Col4a22"	1.66175158746948e-292	0.279226756534486	0.43	0.147	3.70720161648566e-288	"Gut"	"Col4a2"
"Dkk12"	3.00020644602268e-290	0.620904451060797	0.415	0.139	6.693160560432e-286	"Gut"	"Dkk1"
"Cd91"	1.01088436507659e-286	0.476225134441706	0.856	0.554	2.25518193004936e-282	"Gut"	"Cd9"
"Tpbg1"	2.21583288712705e-283	0.302460554156431	0.546	0.225	4.94330158789173e-279	"Gut"	"Tpbg"
"Grb7"	9.80137196843591e-283	0.329212643363266	0.591	0.265	2.18658807243837e-278	"Gut"	"Grb7"
"Vgll41"	9.12442035532388e-280	0.303514918620349	0.579	0.255	2.0355669370692e-275	"Gut"	"Vgll4"
"Trp53i11"	4.68404384977273e-279	0.262073168537743	0.439	0.155	1.0449633424458e-274	"Gut"	"Trp53i11"
"Espn1"	1.6958117256705e-276	0.266757188219433	0.368	0.112	3.78318637879831e-272	"Gut"	"Espn"
"Fhl21"	3.05094412680723e-275	0.294025470082668	0.469	0.177	6.80635125249425e-271	"Gut"	"Fhl2"
"Actn11"	8.53231632157582e-262	0.397858154555132	0.842	0.571	1.90347444818035e-257	"Gut"	"Actn1"
"Nr2f6"	6.12825185558341e-260	0.348045203417194	0.725	0.417	1.3671517064621e-255	"Gut"	"Nr2f6"
"Laptm4b2"	1.15143428587464e-256	0.511314115460257	0.847	0.575	2.56873474835774e-252	"Gut"	"Laptm4b"
"mt-Nd41"	1.23698793600303e-250	0.385508115319014	0.996	0.965	2.75959638642916e-246	"Gut"	"mt-Nd4"
"Tgfb22"	3.53899887250286e-249	0.250966728228313	0.302	0.087	7.89515258466662e-245	"Gut"	"Tgfb2"
"Calm14"	5.14452746006226e-248	0.27165399281995	1	0.999	1.14769263106529e-243	"Gut"	"Calm1"
"Grb103"	2.58504906510579e-247	0.387767998496027	0.807	0.532	5.76698595934451e-243	"Gut"	"Grb10"
"Crip25"	1.21844830115139e-246	0.341595503739197	0.911	0.636	2.71823631503863e-242	"Gut"	"Crip2"
"Tmsb4x4"	8.5534401749169e-246	0.333169834878574	0.975	0.848	1.90818696862221e-241	"Gut"	"Tmsb4x"
"Ctxn11"	2.79972289588843e-244	0.293780321934335	0.595	0.289	6.2459018084375e-240	"Gut"	"Ctxn1"
"Mgst13"	1.53090079792193e-238	0.27742261132122	0.5	0.208	3.41528659008404e-234	"Gut"	"Mgst1"
"Klk8"	1.89872620299123e-235	0.327651622888771	0.61	0.311	4.23586828625315e-231	"Gut"	"Klk8"
"Crip12"	5.16900472366338e-234	0.291169818203164	0.569	0.274	1.15315326380206e-229	"Gut"	"Crip1"
"Serf11"	9.04933975340587e-234	0.347451079812723	0.666	0.37	2.01881720558732e-229	"Gut"	"Serf1"
"Gpx8"	1.69897401456056e-228	0.299485200777773	0.67	0.354	3.79024112908316e-224	"Gut"	"Gpx8"
"Serpinh15"	1.35935917962486e-227	0.305355004848939	0.994	0.864	3.03259439382509e-223	"Gut"	"Serpinh1"
"Hmga24"	3.35575428499032e-227	0.383515885594584	0.887	0.609	7.48635223438491e-223	"Gut"	"Hmga2"
"Marcksl14"	4.9040290426658e-222	0.298998948302303	1	0.982	1.09403983912831e-217	"Gut"	"Marcksl1"
"mt-Co31"	7.36340159307962e-221	0.38344500771559	0.996	0.966	1.64270126140013e-216	"Gut"	"mt-Co3"
"Cdkn1c3"	1.54263388557316e-220	0.82245775297039	0.824	0.586	3.44146193532516e-216	"Gut"	"Cdkn1c"
"mt-Atp61"	4.43752776429197e-220	0.344564853447492	0.999	0.982	9.89968068935896e-216	"Gut"	"mt-Atp6"
"Actb3"	2.0304452072144e-217	0.318807387551895	1	0.997	4.5297202127746e-213	"Gut"	"Actb"
"H2afy23"	8.31502916285937e-217	0.343046122503645	0.923	0.637	1.8549998559423e-212	"Gut"	"H2afy2"
"Fn15"	8.35685784575947e-217	0.437027666505793	0.74	0.441	1.86433141681048e-212	"Gut"	"Fn1"
"Vamp82"	1.33214440338919e-216	0.300946937100152	0.867	0.608	2.97188094952094e-212	"Gut"	"Vamp8"
"Aes1"	3.23282911243782e-216	0.308000012503652	0.647	0.357	7.21211846693754e-212	"Gut"	"Aes"
"Dbn11"	6.47746446469885e-210	0.327359380863712	0.771	0.472	1.44505754742967e-205	"Gut"	"Dbn1"
"Ttc32"	3.28490755756811e-209	0.347352701172158	0.916	0.727	7.32830027017869e-205	"Gut"	"Ttc3"
"Cst35"	2.36930383889765e-208	0.407763442522675	0.977	0.898	5.28567993419676e-204	"Gut"	"Cst3"
"Ier25"	4.90975650134628e-198	0.393993979428888	0.934	0.779	1.09531757788534e-193	"Gut"	"Ier2"
"Podxl1"	6.61189921990203e-197	0.284122857640484	0.613	0.317	1.47504859696794e-192	"Gut"	"Podxl"
"Commd31"	1.10284613589694e-196	0.329422827143082	0.813	0.577	2.46033944457249e-192	"Gut"	"Commd3"
"H2afy7"	1.57123301321058e-196	0.335837812998958	0.925	0.712	3.50526372917149e-192	"Gut"	"H2afy"
"Dram2"	5.12205613906495e-190	0.269622949310756	0.437	0.195	1.142679504064e-185	"Gut"	"Dram2"
"Fhl11"	1.04062149924258e-183	0.397616130566644	0.704	0.458	2.32152250266027e-179	"Gut"	"Fhl1"
"Dap1"	1.59114219337306e-183	0.284113865426918	0.711	0.445	3.54967911919596e-179	"Gut"	"Dap"
"Flna2"	3.3456532645059e-183	0.268452928062862	0.6	0.329	7.46381786778622e-179	"Gut"	"Flna"
"Mfge83"	9.89327816045044e-182	0.303512085580813	0.542	0.283	2.20709142481489e-177	"Gut"	"Mfge8"
"H1fx1"	9.07677569632928e-179	0.328018832028443	0.847	0.612	2.0249378900941e-174	"Gut"	"H1fx"
"Bambi3"	3.95854011093085e-176	0.531713065513719	0.749	0.516	8.83110713347564e-172	"Gut"	"Bambi"
"Tgif14"	3.50592324695345e-175	0.351471354026524	0.842	0.619	7.82136417162845e-171	"Gut"	"Tgif1"
"Csrp23"	2.85404621961365e-173	0.388523462689849	0.874	0.698	6.36709171133609e-169	"Gut"	"Csrp2"
"Tax1bp32"	3.04113910535723e-173	0.320851860107607	0.844	0.617	6.78447723014144e-169	"Gut"	"Tax1bp3"
"Lpar62"	4.43532820216786e-169	0.278821639119581	0.627	0.358	9.89477368621628e-165	"Gut"	"Lpar6"
"Mfap21"	6.40297788201292e-169	0.291829548835855	0.619	0.351	1.42844033569826e-164	"Gut"	"Mfap2"
"Mpzl11"	2.47531316432294e-167	0.332231067342051	0.816	0.613	5.52217613828804e-163	"Gut"	"Mpzl1"
"Cthrc13"	1.62038777236388e-166	0.380963140977946	0.576	0.321	3.61492308136658e-162	"Gut"	"Cthrc1"
"Gnai22"	2.37533066463081e-163	0.288068577666997	0.966	0.883	5.29912517972487e-159	"Gut"	"Gnai2"
"Id12"	1.33388123745875e-161	0.499346433871411	0.864	0.682	2.97575565264672e-157	"Gut"	"Id1"
"Smim14"	5.72153371658089e-161	0.334679846103006	0.516	0.268	1.27641695683203e-156	"Gut"	"Smim14"
"Gnas4"	5.82464681905753e-160	0.252425356498412	0.998	0.975	1.29942045886354e-155	"Gut"	"Gnas"
"Ckap42"	7.13233368770671e-159	0.272007897408065	0.756	0.511	1.59115232239049e-154	"Gut"	"Ckap4"
"Lrpap11"	2.61977653480414e-157	0.370601433021387	0.802	0.617	5.84445947149456e-153	"Gut"	"Lrpap1"
"Maged14"	1.36192882936394e-156	0.317849763620989	0.918	0.754	3.03832702542801e-152	"Gut"	"Maged1"
"1700027J19Rik1"	2.23273487248336e-156	0.268481064279279	0.538	0.292	4.98100822702313e-152	"Gut"	"1700027J19Rik"
"P4hb3"	2.34927464892623e-155	0.286103621343365	0.937	0.822	5.24099681428952e-151	"Gut"	"P4hb"
"Rcn22"	5.93126658698521e-155	0.328150184232644	0.915	0.73	1.32320626289053e-150	"Gut"	"Rcn2"
"Sp54"	8.69208811635132e-154	0.485163989694845	0.527	0.285	1.93911793787682e-149	"Gut"	"Sp5"
"Npc22"	1.14628238372392e-153	0.272100873315908	0.979	0.926	2.5572413698497e-149	"Gut"	"Npc2"
"S100a113"	9.97564227846108e-151	0.255454405372543	0.787	0.521	2.22546603590188e-146	"Gut"	"S100a11"
"Shisa23"	2.45185277707661e-149	0.279014420815573	0.354	0.149	5.46983836038021e-145	"Gut"	"Shisa2"
"Rcn12"	4.99514911675983e-149	0.375967867064246	0.874	0.735	1.11436781645795e-144	"Gut"	"Rcn1"
"Rdx3"	2.45285915992086e-148	0.278891410664582	0.969	0.915	5.47208349986744e-144	"Gut"	"Rdx"
"Igfbp25"	1.1314626905351e-145	0.409039973566774	0.891	0.632	2.52418011631476e-141	"Gut"	"Igfbp2"
"Cd813"	1.87182540672016e-144	0.277951322385922	0.985	0.906	4.17585529985202e-140	"Gut"	"Cd81"
"Ifitm31"	2.44921331539017e-141	0.337548512195225	0.53	0.296	5.46394998530393e-137	"Gut"	"Ifitm3"
"Hes14"	2.96409396526318e-140	0.319988091170265	0.77	0.544	6.61259722710562e-136	"Gut"	"Hes1"
"F11r2"	7.69069496592753e-136	0.261481787823081	0.707	0.467	1.71571713994877e-131	"Gut"	"F11r"
"Krcc12"	4.36761328636683e-135	0.256812338523325	0.699	0.48	9.74370848055576e-131	"Gut"	"Krcc1"
"Lin28a1"	2.11800303754994e-133	0.269031401031535	0.781	0.592	4.72505297647017e-129	"Gut"	"Lin28a"
"Cdkn1a2"	3.67031736223254e-133	0.271285763978295	0.342	0.151	8.18811100340458e-129	"Gut"	"Cdkn1a"
"Ccnd27"	4.41319319055988e-133	0.35811875545393	0.877	0.629	9.84539268882005e-129	"Gut"	"Ccnd2"
"Atxn7l3b2"	9.86082916599044e-133	0.286919759900777	0.94	0.862	2.19985237864081e-128	"Gut"	"Atxn7l3b"
"Id34"	6.42446743317781e-132	0.444642130378314	0.964	0.855	1.43323443966764e-127	"Gut"	"Id3"
"Plp22"	1.24092415495098e-131	0.286644651344804	0.912	0.771	2.76837769728013e-127	"Gut"	"Plp2"
"Cadm12"	5.03877327192242e-130	0.282688842116002	0.796	0.573	1.12409992923317e-125	"Gut"	"Cadm1"
"Nkx2-51"	1.36812933903736e-121	0.27320494798101	0.134	0.035	3.05215974245844e-117	"Gut"	"Nkx2-5"
"Jund2"	1.70776360232817e-121	0.309916434571032	0.776	0.593	3.80984982043391e-117	"Gut"	"Jund"
"Hhex5"	3.71901382162674e-121	0.294957557811456	0.243	0.091	8.2967479346671e-117	"Gut"	"Hhex"
"Malat15"	1.1969964284053e-120	0.422270425716015	0.997	0.956	2.67037933212938e-116	"Gut"	"Malat1"
"Mtch12"	1.0267250021551e-115	0.264507098017957	0.865	0.737	2.29052080730781e-111	"Gut"	"Mtch1"
"Hmgn31"	9.79830929510885e-104	0.27961030461645	0.589	0.382	2.18590482064583e-99	"Gut"	"Hmgn3"
"Nnat2"	5.01280783366988e-97	0.25504257269696	0.674	0.445	1.11830729961341e-92	"Gut"	"Nnat"
"Arl6ip12"	4.00848465081338e-75	0.276031359622875	0.988	0.962	8.94252840749956e-71	"Gut"	"Arl6ip1"
"Pls32"	8.95226470195933e-73	0.258937554654958	0.611	0.444	1.99716073236011e-68	"Gut"	"Pls3"
"Meg33"	7.29498898891011e-72	0.269777204743996	0.865	0.744	1.62743909353596e-67	"Gut"	"Meg3"
"Cald15"	2.37522064608048e-49	0.285482744942743	0.617	0.518	5.29887973934094e-45	"Gut"	"Cald1"
"Cyp26a13"	2.215083114638e-24	0.299993077213948	0.395	0.305	4.94162892044591e-20	"Gut"	"Cyp26a1"
"Etv21"	0	1.87502567534545	0.881	0.155	0	"Haematoendothelial progenitors"	"Etv2"
"Gadd45g5"	0	1.48306980171533	0.945	0.278	0	"Haematoendothelial progenitors"	"Gadd45g"
"Lmo26"	0	1.47061662550839	0.943	0.219	0	"Haematoendothelial progenitors"	"Lmo2"
"Egfl73"	0	1.19624127774904	0.966	0.633	0	"Haematoendothelial progenitors"	"Egfl7"
"Mest6"	0	1.13295882291442	0.987	0.67	0	"Haematoendothelial progenitors"	"Mest"
"Igfbp44"	0	1.11133924279456	0.984	0.506	0	"Haematoendothelial progenitors"	"Igfbp4"
"Ramp22"	0	1.01830487011859	0.841	0.248	0	"Haematoendothelial progenitors"	"Ramp2"
"Phlda19"	0	0.992574097840159	0.951	0.479	0	"Haematoendothelial progenitors"	"Phlda1"
"Fam212a6"	0	0.940238154943605	0.905	0.222	0	"Haematoendothelial progenitors"	"Fam212a"
"Crip26"	0	0.929764479268559	0.962	0.634	0	"Haematoendothelial progenitors"	"Crip2"
"Kdr2"	0	0.91739463259939	0.83	0.066	0	"Haematoendothelial progenitors"	"Kdr"
"Hhex6"	0	0.852318712862973	0.765	0.079	0	"Haematoendothelial progenitors"	"Hhex"
"Tal16"	0	0.845689726258379	0.812	0.087	0	"Haematoendothelial progenitors"	"Tal1"
"Vim5"	0	0.831586701402024	0.887	0.429	0	"Haematoendothelial progenitors"	"Vim"
"Rspo32"	0	0.820480011766947	0.768	0.259	0	"Haematoendothelial progenitors"	"Rspo3"
"Ppic6"	0	0.786960900807038	0.925	0.506	0	"Haematoendothelial progenitors"	"Ppic"
"Hapln13"	0	0.772875138284985	0.632	0.127	0	"Haematoendothelial progenitors"	"Hapln1"
"Ecscr2"	0	0.736889746149077	0.579	0.094	0	"Haematoendothelial progenitors"	"Ecscr"
"Fn16"	0	0.718807626610661	0.881	0.437	0	"Haematoendothelial progenitors"	"Fn1"
"Esam2"	0	0.709311663081606	0.585	0.024	0	"Haematoendothelial progenitors"	"Esam"
"Clic16"	0	0.698628138644633	0.982	0.835	0	"Haematoendothelial progenitors"	"Clic1"
"Fli12"	0	0.684574086365598	0.671	0.038	0	"Haematoendothelial progenitors"	"Fli1"
"Serpinh16"	0	0.654692196606147	0.999	0.863	0	"Haematoendothelial progenitors"	"Serpinh1"
"Fgf33"	0	0.646612289647559	0.544	0.202	0	"Haematoendothelial progenitors"	"Fgf3"
"Tpm45"	0	0.578415363892701	0.992	0.893	0	"Haematoendothelial progenitors"	"Tpm4"
"Cd814"	0	0.57626008335544	0.992	0.905	0	"Haematoendothelial progenitors"	"Cd81"
"Rhoj2"	0	0.571618133493098	0.619	0.027	0	"Haematoendothelial progenitors"	"Rhoj"
"Flt12"	0	0.564206563958045	0.584	0.065	0	"Haematoendothelial progenitors"	"Flt1"
"Cldn51"	0	0.558320475741561	0.324	0.02	0	"Haematoendothelial progenitors"	"Cldn5"
"Limd26"	0	0.547572046673871	0.984	0.8	0	"Haematoendothelial progenitors"	"Limd2"
"Cmtm32"	0	0.545638688392711	0.655	0.173	0	"Haematoendothelial progenitors"	"Cmtm3"
"Gata22"	0	0.543645177038105	0.604	0.083	0	"Haematoendothelial progenitors"	"Gata2"
"Plvap1"	0	0.537408136787184	0.502	0.079	0	"Haematoendothelial progenitors"	"Plvap"
"Gng112"	0	0.534832442623753	0.546	0.11	0	"Haematoendothelial progenitors"	"Gng11"
"Rbms13"	0	0.524622926835209	0.935	0.608	0	"Haematoendothelial progenitors"	"Rbms1"
"Aplnr3"	0	0.489547962825275	0.627	0.14	0	"Haematoendothelial progenitors"	"Aplnr"
"Grrp13"	0	0.483858231388481	0.659	0.182	0	"Haematoendothelial progenitors"	"Grrp1"
"Ppp1r15a6"	0	0.456096702499752	0.7	0.281	0	"Haematoendothelial progenitors"	"Ppp1r15a"
"Rasip12"	0	0.454238417486696	0.489	0.062	0	"Haematoendothelial progenitors"	"Rasip1"
"F2r3"	0	0.449647786377958	0.684	0.294	0	"Haematoendothelial progenitors"	"F2r"
"Jun4"	0	0.448881019781569	0.687	0.346	0	"Haematoendothelial progenitors"	"Jun"
"Elk31"	0	0.448176418494242	0.488	0.036	0	"Haematoendothelial progenitors"	"Elk3"
"Eva1b2"	0	0.447682969554548	0.684	0.37	0	"Haematoendothelial progenitors"	"Eva1b"
"Bmp22"	0	0.439437906001502	0.505	0.081	0	"Haematoendothelial progenitors"	"Bmp2"
"Cald16"	0	0.436089154810571	0.792	0.514	0	"Haematoendothelial progenitors"	"Cald1"
"Dusp23"	0	0.43326720748638	0.483	0.048	0	"Haematoendothelial progenitors"	"Dusp2"
"Tgfb14"	0	0.428318189447067	0.551	0.122	0	"Haematoendothelial progenitors"	"Tgfb1"
"Sh3glb12"	0	0.426694453818337	0.937	0.743	0	"Haematoendothelial progenitors"	"Sh3glb1"
"Junb3"	0	0.42535810267193	0.658	0.309	0	"Haematoendothelial progenitors"	"Junb"
"Plac13"	0	0.421337093094416	0.423	0.135	0	"Haematoendothelial progenitors"	"Plac1"
"Nectin22"	0	0.421202024972161	0.85	0.594	0	"Haematoendothelial progenitors"	"Nectin2"
"Gja41"	0	0.415619817747466	0.312	0.019	0	"Haematoendothelial progenitors"	"Gja4"
"Gngt22"	0	0.410602539056203	0.473	0.083	0	"Haematoendothelial progenitors"	"Gngt2"
"Creg16"	0	0.409350979616276	0.64	0.332	0	"Haematoendothelial progenitors"	"Creg1"
"Itm2a4"	0	0.408837680715298	0.656	0.349	0	"Haematoendothelial progenitors"	"Itm2a"
"S100a104"	0	0.391047420603862	0.942	0.71	0	"Haematoendothelial progenitors"	"S100a10"
"Tax1bp33"	0	0.390710843503807	0.885	0.614	0	"Haematoendothelial progenitors"	"Tax1bp3"
"Igf24"	0	0.389461826562835	0.598	0.286	0	"Haematoendothelial progenitors"	"Igf2"
"Msn2"	0	0.388491437565898	0.686	0.351	0	"Haematoendothelial progenitors"	"Msn"
"Grap1"	0	0.38658723110631	0.435	0.018	0	"Haematoendothelial progenitors"	"Grap"
"Bambi4"	0	0.384574199635222	0.812	0.513	0	"Haematoendothelial progenitors"	"Bambi"
"Ssr23"	0	0.382355197856841	0.995	0.959	0	"Haematoendothelial progenitors"	"Ssr2"
"Vgll42"	0	0.381982074682175	0.606	0.252	0	"Haematoendothelial progenitors"	"Vgll4"
"Sh3bgrl35"	0	0.368089462852035	0.972	0.911	0	"Haematoendothelial progenitors"	"Sh3bgrl3"
"Tmem1584"	0	0.365612366198943	0.562	0.268	0	"Haematoendothelial progenitors"	"Tmem158"
"Exoc3l41"	0	0.354178088909684	0.379	0.024	0	"Haematoendothelial progenitors"	"Exoc3l4"
"Lpar63"	0	0.354076004378755	0.667	0.356	0	"Haematoendothelial progenitors"	"Lpar6"
"Exoc3l1"	0	0.351432836493477	0.385	0.02	0	"Haematoendothelial progenitors"	"Exoc3l"
"Ralb1"	0	0.325950162483643	0.616	0.307	0	"Haematoendothelial progenitors"	"Ralb"
"Abi31"	0	0.320116441519579	0.397	0.022	0	"Haematoendothelial progenitors"	"Abi3"
"Klhl61"	0	0.319360211122422	0.403	0.05	0	"Haematoendothelial progenitors"	"Klhl6"
"Vamp52"	0	0.315962594686636	0.332	0.056	0	"Haematoendothelial progenitors"	"Vamp5"
"Cnrip11"	0	0.313068959176779	0.411	0.157	0	"Haematoendothelial progenitors"	"Cnrip1"
"Eng1"	0	0.307121096512462	0.402	0.033	0	"Haematoendothelial progenitors"	"Eng"
"Emilin11"	0	0.303287418836603	0.422	0.112	0	"Haematoendothelial progenitors"	"Emilin1"
"Lhfp1"	0	0.300981064897057	0.458	0.133	0	"Haematoendothelial progenitors"	"Lhfp"
"Sox7"	0	0.298740877954261	0.397	0.019	0	"Haematoendothelial progenitors"	"Sox7"
"Lyl14"	0	0.296021934866972	0.353	0.047	0	"Haematoendothelial progenitors"	"Lyl1"
"Cnn25"	0	0.293875688069863	0.78	0.432	0	"Haematoendothelial progenitors"	"Cnn2"
"Sox175"	0	0.289647521704753	0.52	0.13	0	"Haematoendothelial progenitors"	"Sox17"
"Polg1"	0	0.289400727490377	0.609	0.299	0	"Haematoendothelial progenitors"	"Polg"
"Calm15"	0	0.284799459901052	0.999	0.999	0	"Haematoendothelial progenitors"	"Calm1"
"Myzap2"	0	0.280710791066919	0.335	0.03	0	"Haematoendothelial progenitors"	"Myzap"
"Prkar2b6"	0	0.279917167656066	0.498	0.202	0	"Haematoendothelial progenitors"	"Prkar2b"
"Gpsm32"	0	0.27897311117984	0.509	0.207	0	"Haematoendothelial progenitors"	"Gpsm3"
"Dok43"	0	0.271872019794464	0.426	0.128	0	"Haematoendothelial progenitors"	"Dok4"
"Klf71"	0	0.27034133765968	0.428	0.168	0	"Haematoendothelial progenitors"	"Klf7"
"Plk21"	0	0.268643546595393	0.339	0.057	0	"Haematoendothelial progenitors"	"Plk2"
"Icam21"	0	0.253296064696106	0.262	0.013	0	"Haematoendothelial progenitors"	"Icam2"
"Nrp2"	0	0.252788928125657	0.404	0.11	0	"Haematoendothelial progenitors"	"Nrp2"
"Tspan182"	0	0.251413501940146	0.392	0.098	0	"Haematoendothelial progenitors"	"Tspan18"
"Fev"	0	0.251363484500942	0.304	0.008	0	"Haematoendothelial progenitors"	"Fev"
"Rap1b5"	8.49465116826876e-304	0.337751439487164	0.97	0.898	1.89507172912908e-299	"Haematoendothelial progenitors"	"Rap1b"
"Pim33"	4.38376708510982e-298	0.352437179598126	0.673	0.402	9.77974599017149e-294	"Haematoendothelial progenitors"	"Pim3"
"Ier26"	3.47178787631507e-275	0.357514668484473	0.929	0.778	7.74521157327128e-271	"Haematoendothelial progenitors"	"Ier2"
"Slc38a42"	2.07497548568495e-274	0.330599910089256	0.635	0.348	4.62906281101455e-270	"Haematoendothelial progenitors"	"Slc38a4"
"H195"	7.72384555412883e-270	0.388018137145392	0.913	0.622	1.7231127046706e-265	"Haematoendothelial progenitors"	"H19"
"Tpst24"	1.97423514057269e-264	0.307549263478546	0.698	0.441	4.40432117510361e-260	"Haematoendothelial progenitors"	"Tpst2"
